,market_factor,SMB,HML
market_factor,4.732575264946066,9.622493858021677,3.0999110183619742
SMB,9.622493858021677,37.22463915222958,9.466839845396665
HML,3.0999110183619742,9.466839845396665,5.6957613966587965
