,ticker,market_factor,SMB,HML,mf_pvalue,SMB_pvalue,HML_pvalue
0,ABEV3,0.17711888772093043,0.13673291656222158,-0.0009485225466086405,0.4916037167457533,0.163848562922791,0.9964481860651708
1,BBAS3,0.6053848998956423,0.4045264021857433,-0.37932437736888036,0.0204250457320119,0.00016236073391624173,0.07421687076253015
2,BBSE3,0.20794020494993193,0.8428794521834555,0.07409904265704559,0.6045333504165737,0.06988576426204181,0.8019202693522397
3,BEEF3,-0.3783884091000312,0.7571283406588288,0.32319743701507453,0.42847149013742947,0.00021194426663494724,0.415922858290776
4,BRAP3,0.5133660761797147,0.30560968565442315,-0.20085590079687643,0.02382967743701537,0.0007678089684871041,0.26946804170847055
5,BRAP4,0.23559084115574963,0.3593245468481005,-0.4586412441387058,0.3762315181330248,0.0011124848562301332,0.044498386282677445
6,BRFS3,-0.007242660146324124,0.20988615080193562,0.022592426672609578,0.973827639261414,0.016704843103361244,0.9020083121161621
7,BRML3,0.5336342398331614,0.3028403482415746,-0.2764229332436714,0.12193218438386058,0.02305895426855408,0.32842112958480885
8,BRPR3,-0.09176715918668649,0.3619686287699726,0.22444766710944586,0.7482010617118366,0.036527560360936635,0.3660330499770469
9,CCRO3,0.218973018043361,0.07265598970304613,0.4191248446343644,0.300881814714157,0.36033924799313644,0.022063769091566453
10,CIEL3,0.4813137675118414,-0.1835339327892298,0.10594268239870883,0.08188176936849341,0.12553299348886746,0.6681917901582441
11,CSNA3,0.7320254220854018,0.5177607353846907,-1.1630559308531618,0.05072359759375087,0.000664719248665376,0.0005622084479745575
12,CYRE3,-0.14238902365290287,0.5972416337593134,0.13706349331283207,0.5771892764613502,9.795147392307198e-07,0.5188763291853529
13,ECOR3,-0.05973382375024813,0.2431905105467282,0.3733563117359646,0.7847249990132008,0.06258451723546123,0.05510944963968299
14,ENBR3,-0.034355114292813835,0.17644482038477932,-0.03756403878647516,0.852610979704084,0.016323226912337563,0.8069420157467633
15,IGTA3,0.2943975305438741,0.3971315739159667,-0.11129784876857962,0.16642886163984325,2.322364051604357e-05,0.5231371831790019
16,ITUB3,0.29490398594554446,0.18975002915976594,-0.06450298813677985,0.1339152037745066,0.0134897783659368,0.6874374468370957
17,ITUB4,0.3341469586627434,0.16328098044602318,-0.22080020946524834,0.08051748523674213,0.02580104512411551,0.1603104702958698
18,JBSS3,0.1672103693900635,0.3948880934941955,-0.48984171325897724,0.6487980124269617,0.007474046270723707,0.11611029057737225
19,MRFG3,-0.36123988095095794,0.42936762949609136,0.7609826336298786,0.4122187859063875,0.013857365566032068,0.044159448840887294
20,MRVE3,0.3670185598074064,0.6324730183596476,-0.16589730093367805,0.15412662823980783,3.2642391549389596e-07,0.43212838222340755
21,MULT3,-0.09782075299263054,0.37115881930361,0.11815233497232774,0.5764149941067642,4.620214800707213e-06,0.4183657677493592
22,NATU3,0.5888762076023257,0.056065206273803694,-0.049835133846971136,0.014121852866635413,0.5121541882061197,0.7913427184588666
23,ODPV3,0.07733807172005414,0.17732905857318731,0.21118567203973385,0.6902580073315474,0.020780077896603143,0.19675989345310646
24,OIBR3,0.7871708047401615,-0.10669264952426549,-0.2638131832654312,0.15288377166392986,0.6003901065096122,0.558020107158034
25,OIBR4,0.5711402676218597,0.16658655390291519,-0.6549722705218047,0.10223623123643866,0.20060928388281407,0.02727502994164337
26,PCAR4,0.22811268249598243,0.20154622169996994,-0.11207637938134715,0.3623948836014157,0.03867522206769361,0.5903107821726417
27,QUAL3,0.4682826400061378,0.06461960332257599,-0.015867368422726513,0.21639754759876348,0.7562336388792633,0.9568623324586969
28,RENT3,0.11326077434535581,0.5024620751666267,-0.001619509367709937,0.5202315053119482,2.891821058192639e-08,0.9911389411523974
29,TOTS3,0.034756761869538355,0.26253969683684353,0.2546658574030285,0.877922899798034,0.004332899866484281,0.1828647799419637
30,UGPA3,0.03365899981668233,-0.0008187864146904306,-0.04161184175070122,0.8374803178727976,0.9905025705342916,0.7635089133068098
31,USIM3,0.608611487360077,0.3628127301945685,-0.595745712112107,0.3568414902788333,0.14889360555383396,0.27927727685254156
32,USIM5,-0.26043026658617385,0.8029226376730956,-1.1567357682419648,0.45684524674052984,1.2902046654258429e-06,0.00040395885144820274
33,VALE3,0.42306534873071544,0.23719615901351154,-0.2647801308579333,0.0445111501112399,0.004049749945609113,0.12415374360986359
34,VIVT3,0.17819799095722735,-0.01279238112359013,0.03878505081333752,0.34062830852064785,0.8544883985095322,0.8013830132407248
35,VIVT4,0.1838086874740084,-0.038938142432050085,-0.17528879403205627,0.36461701035782146,0.6077075080990546,0.29936216986759834
36,VLID3,0.17605313704560524,0.09872499245471293,0.5682090953837038,0.25966902158331673,0.0974817532036,0.00012599474895729442
