,amount,date,formatted_date,type,ticker,numerator,denominator,splitRatio
3497,1.11221,1319112000,2011-10-20,DIVIDEND,GEPA3,,,
3498,0.664,1419940800,2014-12-30,DIVIDEND,GEPA3,,,
3499,0.666,1482926400,2016-12-28,DIVIDEND,GEPA3,,,
3500,0.783622,1546516800,2019-01-03,DIVIDEND,GEPA3,,,
3501,2.39758,1304341200,2011-05-02,DIVIDEND,GEPA3,,,
3502,0.889189,1367240400,2013-04-29,DIVIDEND,GEPA3,,,
3503,0.639706,1430226000,2015-04-28,DIVIDEND,GEPA3,,,
3504,0.709,1387281600,2013-12-17,DIVIDEND,GEPA3,,,
3505,1.38365,1461934800,2016-04-29,DIVIDEND,GEPA3,,,
3506,1.27074,1576238400,2019-12-13,DIVIDEND,GEPA3,,,
3507,1.29878,1525093200,2018-04-30,DIVIDEND,GEPA3,,,
3508,1.27074,1542974400,2018-11-23,DIVIDEND,GEPA3,,,
3509,0.655685,1446552000,2015-11-03,DIVIDEND,GEPA3,,,
3510,1.27074,1509537600,2017-11-01,DIVIDEND,GEPA3,,,
3511,0.783622,1513771200,2017-12-20,DIVIDEND,GEPA3,,,
3512,2.29268,1412341200,2014-10-03,DIVIDEND,GEPA3,,,
3513,0.407557,1246971600,2009-07-07,DIVIDEND,TRPL3,,,
3514,1.13794,1318338000,2011-10-11,DIVIDEND,TRPL3,,,
3515,1.05728,1310043600,2011-07-07,DIVIDEND,TRPL3,,,
3516,0.834746,1480939200,2016-12-05,DIVIDEND,TRPL3,,,
3517,0.39969,1229342400,2008-12-15,DIVIDEND,TRPL3,,,
3518,0.514164,1524056400,2018-04-18,DIVIDEND,TRPL3,,,
3519,4.61573,1528290000,2018-06-06,DIVIDEND,TRPL3,,,
3520,0.784661,1573473600,2019-11-11,DIVIDEND,TRPL3,,,
3521,7.43683,1544184000,2018-12-07,DIVIDEND,TRPL3,,,
3522,1.06866,1263297600,2010-01-12,DIVIDEND,TRPL3,,,
3523,1.19415,1302181200,2011-04-07,DIVIDEND,TRPL3,,,
3524,2.2183,1511265600,2017-11-21,DIVIDEND,TRPL3,,,
3525,1.13876,1201003200,2008-01-22,DIVIDEND,TRPL3,,,
3526,1.11254,1326801600,2012-01-17,DIVIDEND,TRPL3,,,
3527,1.38969,1448539200,2015-11-26,DIVIDEND,TRPL3,,,
3528,0.562186,1565010000,2019-08-05,DIVIDEND,TRPL3,,,
3529,0.192417,1431003600,2015-05-07,DIVIDEND,TRPL3,,,
3530,0.686625,1254920400,2009-10-07,DIVIDEND,TRPL3,,,
3531,0.329695,1334667600,2012-04-17,DIVIDEND,TRPL3,,,
3532,0.635721,1341234000,2012-07-02,DIVIDEND,TRPL3,,,
3533,0.819569,1496408400,2017-06-02,DIVIDEND,TRPL3,,,
3534,0.262066,1197633600,2007-12-14,DIVIDEND,TRPL3,,,
3535,0.412171,1207054800,2008-04-01,DIVIDEND,TRPL3,,,
3536,0.419364,1278594000,2010-07-08,DIVIDEND,TRPL3,,,
3537,0.390604,1215694800,2008-07-10,DIVIDEND,TRPL3,,,
3538,0.820578,1231848000,2009-01-13,DIVIDEND,TRPL3,,,
3539,0.196514,1396443600,2014-04-02,DIVIDEND,TRPL3,,,
3540,0.110087,1304341200,2011-05-02,DIVIDEND,TRPL3,,,
3541,0.448806,1207918800,2008-04-11,DIVIDEND,TRPL3,,,
3542,0.862756,1270818000,2010-04-09,DIVIDEND,TRPL3,,,
3543,0.509143,1273064400,2010-05-05,DIVIDEND,TRPL3,,,
3544,0.738152,1295265600,2011-01-17,DIVIDEND,TRPL3,,,
3545,1.0232,1416916800,2014-11-25,DIVIDEND,TRPL3,,,
3546,0.686875,1432731600,2015-05-27,DIVIDEND,TRPL3,,,
3547,0.709319,1239886800,2009-04-16,DIVIDEND,TRPL3,,,
3548,0.163679,1576497600,2019-12-16,DIVIDEND,TRPL3,,,
3549,0.667797,1466600400,2016-06-22,DIVIDEND,TRPL3,,,
3550,0.196514,1407934800,2014-08-13,DIVIDEND,TRPL3,,,
3551,1.31009,1388059200,2013-12-26,DIVIDEND,TRPL3,,,
3552,0.365823,1223643600,2008-10-10,DIVIDEND,TRPL3,,,
3553,0.963453,1286542800,2010-10-08,DIVIDEND,TRPL3,,,
3554,0.407557,1246971600,2009-07-07,DIVIDEND,TRPL4,,,
3555,1.13794,1318338000,2011-10-11,DIVIDEND,TRPL4,,,
3556,1.05728,1310043600,2011-07-07,DIVIDEND,TRPL4,,,
3557,0.834746,1480939200,2016-12-05,DIVIDEND,TRPL4,,,
3558,0.514164,1524056400,2018-04-18,DIVIDEND,TRPL4,,,
3559,4.61573,1528290000,2018-06-06,DIVIDEND,TRPL4,,,
3560,0.784661,1573473600,2019-11-11,DIVIDEND,TRPL4,,,
3561,7.43683,1544184000,2018-12-07,DIVIDEND,TRPL4,,,
3562,1.06866,1263297600,2010-01-12,DIVIDEND,TRPL4,,,
3563,1.19415,1302181200,2011-04-07,DIVIDEND,TRPL4,,,
3564,2.2183,1511265600,2017-11-21,DIVIDEND,TRPL4,,,
3565,1.13876,1201003200,2008-01-22,DIVIDEND,TRPL4,,,
3566,1.11254,1326801600,2012-01-17,DIVIDEND,TRPL4,,,
3567,1.38969,1448539200,2015-11-26,DIVIDEND,TRPL4,,,
3568,0.562186,1565010000,2019-08-05,DIVIDEND,TRPL4,,,
3569,0.192417,1431003600,2015-05-07,DIVIDEND,TRPL4,,,
3570,0.686625,1254920400,2009-10-07,DIVIDEND,TRPL4,,,
3571,0.329695,1334667600,2012-04-17,DIVIDEND,TRPL4,,,
3572,1.05462,1341234000,2012-07-02,DIVIDEND,TRPL4,,,
3573,0.819569,1496408400,2017-06-02,DIVIDEND,TRPL4,,,
3574,0.262066,1197633600,2007-12-14,DIVIDEND,TRPL4,,,
3575,0.412171,1207054800,2008-04-01,DIVIDEND,TRPL4,,,
3576,0.419364,1278594000,2010-07-08,DIVIDEND,TRPL4,,,
3577,0.390604,1215694800,2008-07-10,DIVIDEND,TRPL4,,,
3578,0.196514,1396443600,2014-04-02,DIVIDEND,TRPL4,,,
3579,0.110087,1304341200,2011-05-02,DIVIDEND,TRPL4,,,
3580,0.448806,1207918800,2008-04-11,DIVIDEND,TRPL4,,,
3581,0.862756,1270818000,2010-04-09,DIVIDEND,TRPL4,,,
3582,0.509143,1273064400,2010-05-05,DIVIDEND,TRPL4,,,
3583,0.738152,1295265600,2011-01-17,DIVIDEND,TRPL4,,,
3584,1.0232,1416916800,2014-11-25,DIVIDEND,TRPL4,,,
3585,0.686875,1432731600,2015-05-27,DIVIDEND,TRPL4,,,
3586,0.163679,1576497600,2019-12-16,DIVIDEND,TRPL4,,,
3587,0.667797,1466600400,2016-06-22,DIVIDEND,TRPL4,,,
3588,0.196514,1407934800,2014-08-13,DIVIDEND,TRPL4,,,
3589,1.31009,1388059200,2013-12-26,DIVIDEND,TRPL4,,,
3590,0.963453,1286542800,2010-10-08,DIVIDEND,TRPL4,,,
3591,,1187096400,2007-08-14,SPLIT,TRPL4,1.0,1000.0,1000/1
3592,,1554469200,2019-04-05,SPLIT,TRPL4,4.0,1.0,1/4
3593,,1436274000,2015-07-07,SPLIT,IDNT3,1.0,10.0,10/1
3594,0.8,1471525200,2016-08-18,DIVIDEND,UGPA3,,,
3595,0.85,1502974800,2017-08-17,DIVIDEND,UGPA3,,,
3596,0.51,1329998400,2012-02-23,DIVIDEND,UGPA3,,,
3597,0.71,1425560400,2015-03-05,DIVIDEND,UGPA3,,,
3598,0.87,1488459600,2017-03-02,DIVIDEND,UGPA3,,,
3599,0.9,1519995600,2018-03-02,DIVIDEND,UGPA3,,,
3600,0.7,1551445200,2019-03-01,DIVIDEND,UGPA3,,,
3601,0.2,1566565200,2019-08-23,DIVIDEND,UGPA3,,,
3602,0.887031,1237467600,2009-03-19,DIVIDEND,UGPA3,,,
3603,0.51,1344517200,2012-08-09,DIVIDEND,UGPA3,,,
3604,0.66,1375966800,2013-08-08,DIVIDEND,UGPA3,,,
3605,0.89,1218718800,2008-08-14,DIVIDEND,UGPA3,,,
3606,1.7794,1204203600,2008-02-28,DIVIDEND,UGPA3,,,
3607,0.71,1408021200,2014-08-14,DIVIDEND,UGPA3,,,
3608,0.8,1439470800,2015-08-13,DIVIDEND,UGPA3,,,
3609,0.89,1250773200,2009-08-20,DIVIDEND,UGPA3,,,
3610,1.32,1282222800,2010-08-19,DIVIDEND,UGPA3,,,
3611,0.47,1313672400,2011-08-18,DIVIDEND,UGPA3,,,
3612,0.56,1533906000,2018-08-10,DIVIDEND,UGPA3,,,
3613,0.8,1456405200,2016-02-25,DIVIDEND,UGPA3,,,
3614,1.19,1267707600,2010-03-04,DIVIDEND,UGPA3,,,
